name,member,weld,plate,bolt_group,a
WSP415,SWC 1000WB215 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP416,SWC 900WB282 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP417,SWC 900WB257 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP418,SWC 900WB218 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP419,SWC 900WB175 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP420,SWC 800WB192 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP421,SWC 800WB168 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP422,SWC 800WB146 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP423,SWC 800WB122 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP424,SWC 700WB173 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP425,SWC 700WB150 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP426,SWC 700WB130 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP427,SWC 700WB115 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP428,SWC 610UB125 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP429,SWC 610UB113 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP430,SWC 610UB101 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP431,SWC 800WB192 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP432,SWC 800WB168 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP433,SWC 800WB146 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP434,SWC 800WB122 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP435,SWC 700WB173 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP436,SWC 700WB150 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP437,SWC 700WB130 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP438,SWC 700WB115 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP439,SWC 610UB125 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP440,SWC 610UB113 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP441,SWC 610UB101 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP442,SWC 530UB92.4 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP443,SWC 530UB82.0 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP444,SWC 700WB173 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP445,SWC 700WB150 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP446,SWC 700WB130 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP447,SWC 700WB115 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP448,SWC 610UB125 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP449,SWC 610UB113 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP450,SWC 610UB101 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP451,SWC 530UB92.4 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP452,SWC 530UB82.0 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP453,SWC 460UB82.1 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP454,SWC 460UB74.6 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP455,SWC 460UB67.1 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP456,SWC 530UB92.4 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"4x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP457,SWC 530UB82.0 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"4x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP458,SWC 460UB82.1 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"4x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP459,SWC 460UB74.6 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"4x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP460,SWC 460UB67.1 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"4x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP461,SWC 410UB59.7 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"4x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP462,SWC 410UB53.7 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"4x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP463,SWC 380PFC (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"4x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP464,SWC 410UB59.7 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"3x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP465,SWC 410UB53.7 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"3x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP466,SWC 380PFC (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"3x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP467,SWC 360UB56.7 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"3x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP468,SWC 360UB50.7 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"3x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP469,SWC 360UB44.7 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"3x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP470,SWC 300PFC (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"3x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP471,SWC 310UC158 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"3x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP472,SWC 310UC137 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"3x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP473,SWC 310UC118 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"3x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP474,SWC 310UC96.8 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"3x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP475,SWC 310UB46.2 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"3x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP476,SWC 310UB40.4 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"3x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP477,SWC 310UB32.0 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"3x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP478,SWC 250UB37.3 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"2x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP479,SWC 250UB31.4 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"2x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP480,SWC 250UB25.7 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"2x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP481,SWC 200UB29.8 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"2x1 (70px55g) 35,35,35 M20 8.8/S (TI)",70
WSP482,SWC 200UB25.4 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"2x1 (70px55g) 35,35,35 M20 8.8/S (TI)",70
WSP483,SWC 200UB22.3 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"2x1 (70px55g) 35,35,35 M20 8.8/S (TI)",70
WSP484,SWC 200UB18.2 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"2x1 (70px55g) 35,35,35 M20 8.8/S (TI)",70
WSP485,SWC 250PFC (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"2x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP486,SWC 230PFC (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"2x1 (70px55g) 35,35,35 M20 8.8/S (TI)",70
WSP487,SWC 200PFC (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"2x1 (70px55g) 35,35,35 M20 8.8/S (TI)",70
WSP488,SWC 250UC89.5 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"2x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP489,SWC 250UC72.9 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"2x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP490,SWC 200UC59.5 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"2x1 (70px55g) 35,35,35 M20 8.8/S (TI)",70
WSP491,SWC 200UC52.2 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"2x1 (70px55g) 35,35,35 M20 8.8/S (TI)",70
WSP492,SWC 200UC46.2 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"2x1 (70px55g) 35,35,35 M20 8.8/S (TI)",70
WSP493,SWC 1200WB455 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP494,SWC 1200WB423 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP495,SWC 1200WB392 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP496,SWC 1200WB342 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP497,SWC 1200WB317 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP498,SWC 1200WB249 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP499,SWC 1200WB278 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP500,SWC 1000WB322 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP501,SWC 1000WB296 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP502,SWC 1000WB258 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP503,SWC 1000WB215 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP504,SWC 900WB282 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP505,SWC 900WB257 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP506,SWC 900WB218 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP507,SWC 900WB175 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP508,SWC 800WB192 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP509,SWC 800WB168 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP510,SWC 800WB146 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP511,SWC 800WB122 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"9x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP512,SWC 1200WB455 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP513,SWC 1200WB423 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP514,SWC 1200WB392 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP515,SWC 1200WB342 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP516,SWC 1200WB317 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP517,SWC 1200WB249 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP518,SWC 1200WB278 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP519,SWC 1000WB322 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP520,SWC 1000WB296 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP521,SWC 1000WB258 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP522,SWC 1000WB215 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP523,SWC 900WB282 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP524,SWC 900WB257 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP525,SWC 900WB218 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP526,SWC 900WB175 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP527,SWC 800WB192 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP528,SWC 800WB168 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP529,SWC 800WB146 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP530,SWC 800WB122 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP531,SWC 700WB173 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP532,SWC 700WB150 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP533,SWC 700WB130 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP534,SWC 700WB115 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"8x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP535,SWC 1000WB322 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP536,SWC 1000WB296 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP537,SWC 1000WB258 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP538,SWC 1000WB215 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP539,SWC 900WB282 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP540,SWC 900WB257 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP541,SWC 900WB218 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP542,SWC 900WB175 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP543,SWC 800WB192 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP544,SWC 800WB168 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP545,SWC 800WB146 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP546,SWC 800WB122 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP547,SWC 700WB173 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP548,SWC 700WB150 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP549,SWC 700WB130 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP550,SWC 700WB115 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP551,SWC 610UB125 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP552,SWC 610UB113 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP553,SWC 610UB101 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"7x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP554,SWC 800WB192 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP555,SWC 800WB168 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP556,SWC 800WB146 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP557,SWC 800WB122 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP558,SWC 700WB173 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP559,SWC 700WB150 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP560,SWC 700WB130 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP561,SWC 700WB115 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP562,SWC 610UB125 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP563,SWC 610UB113 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP564,SWC 610UB101 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP565,SWC 530UB92.4 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP566,SWC 530UB82.0 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"6x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP567,SWC 700WB173 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP568,SWC 700WB150 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP569,SWC 700WB130 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP570,SWC 700WB115 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP571,SWC 610UB125 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP572,SWC 610UB113 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP573,SWC 610UB101 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP574,SWC 530UB92.4 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP575,SWC 530UB82.0 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP576,SWC 460UB82.1 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP577,SWC 460UB74.6 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP578,SWC 460UB67.1 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"5x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP579,SWC 530UB92.4 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"4x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP580,SWC 530UB82.0 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"4x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP581,SWC 460UB82.1 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"4x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP582,SWC 460UB74.6 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"4x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP583,SWC 460UB67.1 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"4x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP584,SWC 410UB59.7 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"4x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP585,SWC 410UB53.7 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"4x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP586,SWC 380PFC (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"4x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP587,SWC 410UB59.7 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"3x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP588,SWC 410UB53.7 (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"3x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
WSP589,SWC 380PFC (GR300),8mm CFW SP E48XX,90mm 10mm Plate GR250,"3x1 (70px55g) 35,35,35 M20 8.8/S (TI)",100
