name,member,plate,weld,bolt_group,a
FEP125,SWC 1200WB423 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP126,SWC 1200WB392 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP127,SWC 1200WB342 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP128,SWC 1200WB317 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP129,SWC 1200WB278 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP130,SWC 1200WB249 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP131,SWC 1000WB322 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP132,SWC 1000WB296 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP133,SWC 1000WB258 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP134,SWC 1000WB215 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP135,SWC 900WB282 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP136,SWC 900WB257 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP137,SWC 900WB218 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP138,SWC 900WB175 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP139,SWC 800WB192 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP140,SWC 800WB168 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP141,SWC 800WB146 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP142,SWC 800WB122 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP143,SWC 1200WB455 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP144,SWC 1200WB423 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP145,SWC 1200WB392 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP146,SWC 1200WB342 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP147,SWC 1200WB317 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP148,SWC 1200WB278 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP149,SWC 1200WB249 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
